tconst,title,actor,actress,director,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0013274,Istoriya grazhdanskoy voyny,,,,2021.0,94.0,Documentary,6.8,57
tt0015414,La tierra de los toros,,,,2000.0,60.0,inconnus,5.2,16
tt0015724,Dama de noche,,,,1993.0,102.0,"Drama,Mystery,Romance",6.1,26
tt0035423,Kate & Leopold,Hugh Jackman,,James Mangold,2001.0,118.0,"Comedy,Fantasy,Romance",6.4,87323
tt0059325,Born in '45,,,,1990.0,100.0,"Drama,Romance",6.4,254
tt0059900,"Wenn du groß bist, lieber Adam",,,,1990.0,78.0,"Drama,Fantasy",6.4,38
tt0062336,The Tango of the Widower and Its Distorting Mirror,,,,2020.0,70.0,Drama,6.4,179
tt0065188,"Vojtech, receny sirotek",,,,1990.0,80.0,Drama,6.4,37
tt0067460,My Kingdom for...,,,,1995.0,85.0,"Documentary,Sport",6.8,26
tt0068494,Domo Arigato,,,,1990.0,91.0,Drama,4.9,20
tt0068865,Lives of Performers,,,,2016.0,90.0,Drama,5.4,75
tt0069049,The Other Side of the Wind,,,,2018.0,122.0,Drama,6.7,7793
tt0070501,Little White Dove,,,,1992.0,125.0,"Comedy,Drama,Romance",6.9,231
tt0077432,Bloody Hero,,,,1991.0,85.0,"Action,Drama",5.4,13
tt0080039,A Touch of the Sun,,,,1996.0,85.0,Comedy,2.8,366
tt0081145,Me and the Kid,,,,1993.0,94.0,"Comedy,Crime,Drama",5.4,286
tt0081721,Vincent and Me,,,,1990.0,100.0,"Drama,Family,Fantasy",6.2,325
tt0084015,Goodbye Paradise,,,,1991.0,101.0,Drama,7.3,44
tt0084551,The Buddhist Spell,,,,1993.0,91.0,"Comedy,Drama,Fantasy",5.5,25
tt0084870,Memories and Confessions,,,,1993.0,73.0,"Biography,History",7.1,397
tt0088267,Tian di xuan men,,,,1991.0,90.0,"Action,Comedy,Fantasy",5.5,117
tt0088751,The Naked Monster,,,,2005.0,100.0,"Comedy,Horror,Sci-Fi",5.2,338
tt0090665,Halfaouine: Boy of the Terraces,,,,1990.0,98.0,"Comedy,Drama",6.7,1870
tt0090785,Call Me Mr. Brown,,,,1990.0,94.0,Crime,5.7,51
tt0091899,The Scarlet Scorpion,,,,1990.0,90.0,Comedy,6.2,159
tt0092024,El sueño de Tánger,,,,1991.0,88.0,"Drama,Romance,Thriller",7.0,53
tt0092507,Abhimanyu,,,,1991.0,140.0,"Crime,Drama,Musical",7.3,409
tt0092589,Astonished,,,,1990.0,93.0,Mystery,4.4,33
tt0092926,Dragon Hunt,,,,1990.0,90.0,Action,3.0,229
tt0092984,Esto es un atraco,,,,1991.0,90.0,Comedy,4.9,76
tt0093061,Funkytown,,,,1998.0,82.0,"Documentary,Music",7.7,15
tt0093210,La hora 24,,,,1990.0,98.0,"Drama,Fantasy",5.5,18
tt0093309,The Ultimate Vampire,,,,1991.0,88.0,"Comedy,Horror",6.2,179
tt0093508,Material urbà,,,,1990.0,90.0,inconnus,6.4,9
tt0093572,Moskovskaya elegiya,,,,1990.0,88.0,Documentary,7.3,378
tt0093989,Slaughter in Xian,,,,1990.0,115.0,"Action,Crime,Drama",6.0,17
tt0094376,Middle Man,,,,1990.0,94.0,"Action,Crime,Drama",5.5,260
tt0094666,Any Man's Death,,,,1990.0,108.0,"Adventure,Drama,Thriller",4.3,122
tt0094841,The House of Smiles,,,,1991.0,110.0,"Drama,Romance",6.5,295
